X,Y
4.51,0.01
4.59,0.04
5.18,0.06
4.98,0.08
5.62,0.10
6.21,0.12
7.08,0.14
7.71,0.14
8.43,0.13
8.78,0.12
9.18,0.14
9.65,0.13
10.12,0.13
10.95,0.13
11.27,0.14
11.75,0.14
12.62,0.13
12.70,0.15
13.09,0.14
13.64,0.13
14.39,0.14
14.83,0.14
15.26,0.13
15.86,0.13
16.37,0.11
16.72,0.11
17.51,0.10
17.99,0.08
18.62,0.08
19.29,0.07
19.84,0.06
20.44,0.05
20.95,0.04
21.66,0.03
22.45,0.02
22.81,0.02
23.04,0.03
23.32,0.05
23.56,0.06
23.84,0.08
24.31,0.05
24.59,0.04
25.10,0.05
25.73,0.04
26.44,0.04
27.12,0.03
27.79,0.02
28.10,0.01
29.64,0.01
30.91,0.02
31.90,0.04
32.81,0.04
33.60,0.03
35.10,0.02
35.69,0.03
36.52,0.01
37.47,0.02
38.14,0.01
38.93,0.01

